"","Date","country","searches"
"1","2002-12-29","Argentina",NA
"2","2002-12-29","Bolivia",0.101
"3","2002-12-29","Brazil",0.073
"4","2002-12-29","India",0.062
"5","2002-12-29","Indonesia",0.101
"6","2002-12-29","Mexico",NA
"7","2002-12-29","Philippines",NA
"8","2002-12-29","Singapore",0.059
"9","2002-12-29","Thailand",NA
"10","2002-12-29","Venezuela",NA
"11","2003-01-05","Argentina",NA
"12","2003-01-05","Bolivia",0.143
"13","2003-01-05","Brazil",0.098
"14","2003-01-05","India",0.047
"15","2003-01-05","Indonesia",0.039
"16","2003-01-05","Mexico",NA
"17","2003-01-05","Philippines",NA
"18","2003-01-05","Singapore",0.059
"19","2003-01-05","Thailand",NA
"20","2003-01-05","Venezuela",NA
"21","2003-01-12","Argentina",NA
"22","2003-01-12","Bolivia",0.176
"23","2003-01-12","Brazil",0.119
"24","2003-01-12","India",0.051
"25","2003-01-12","Indonesia",0.059
"26","2003-01-12","Mexico",0.071
"27","2003-01-12","Philippines",NA
"28","2003-01-12","Singapore",0.238
"29","2003-01-12","Thailand",NA
"30","2003-01-12","Venezuela",NA
"31","2003-01-19","Argentina",NA
"32","2003-01-19","Bolivia",0.173
"33","2003-01-19","Brazil",0.17
"34","2003-01-19","India",0.032
"35","2003-01-19","Indonesia",0.039
"36","2003-01-19","Mexico",0.052
"37","2003-01-19","Philippines",NA
"38","2003-01-19","Singapore",0.175
"39","2003-01-19","Thailand",NA
"40","2003-01-19","Venezuela",NA
"41","2003-01-26","Argentina",NA
"42","2003-01-26","Bolivia",0.146
"43","2003-01-26","Brazil",0.138
"44","2003-01-26","India",0.04
"45","2003-01-26","Indonesia",0.112
"46","2003-01-26","Mexico",0.048
"47","2003-01-26","Philippines",NA
"48","2003-01-26","Singapore",0.164
"49","2003-01-26","Thailand",NA
"50","2003-01-26","Venezuela",NA
"51","2003-02-02","Argentina",NA
"52","2003-02-02","Bolivia",0.16
"53","2003-02-02","Brazil",0.202
"54","2003-02-02","India",0.038
"55","2003-02-02","Indonesia",0.049
"56","2003-02-02","Mexico",0.041
"57","2003-02-02","Philippines",NA
"58","2003-02-02","Singapore",0.163
"59","2003-02-02","Thailand",NA
"60","2003-02-02","Venezuela",NA
"61","2003-02-09","Argentina",NA
"62","2003-02-09","Bolivia",0.225
"63","2003-02-09","Brazil",0.179
"64","2003-02-09","India",0.019
"65","2003-02-09","Indonesia",0.06
"66","2003-02-09","Mexico",0.042
"67","2003-02-09","Philippines",NA
"68","2003-02-09","Singapore",0.15
"69","2003-02-09","Thailand",NA
"70","2003-02-09","Venezuela",NA
"71","2003-02-16","Argentina",0.046
"72","2003-02-16","Bolivia",0.109
"73","2003-02-16","Brazil",0.239
"74","2003-02-16","India",0.008
"75","2003-02-16","Indonesia",0.039
"76","2003-02-16","Mexico",0.049
"77","2003-02-16","Philippines",NA
"78","2003-02-16","Singapore",0.144
"79","2003-02-16","Thailand",NA
"80","2003-02-16","Venezuela",0.139
"81","2003-02-23","Argentina",0.048
"82","2003-02-23","Bolivia",0.147
"83","2003-02-23","Brazil",0.205
"84","2003-02-23","India",0.022
"85","2003-02-23","Indonesia",0.078
"86","2003-02-23","Mexico",0.054
"87","2003-02-23","Philippines",NA
"88","2003-02-23","Singapore",0.142
"89","2003-02-23","Thailand",NA
"90","2003-02-23","Venezuela",0.137
"91","2003-03-02","Argentina",0.051
"92","2003-03-02","Bolivia",0.119
"93","2003-03-02","Brazil",0.142
"94","2003-03-02","India",0.028
"95","2003-03-02","Indonesia",0.048
"96","2003-03-02","Mexico",0.075
"97","2003-03-02","Philippines",NA
"98","2003-03-02","Singapore",0.129
"99","2003-03-02","Thailand",NA
"100","2003-03-02","Venezuela",0.168
"101","2003-03-09","Argentina",0.051
"102","2003-03-09","Bolivia",0.195
"103","2003-03-09","Brazil",0.28
"104","2003-03-09","India",0.003
"105","2003-03-09","Indonesia",0.089
"106","2003-03-09","Mexico",0.096
"107","2003-03-09","Philippines",NA
"108","2003-03-09","Singapore",0.13
"109","2003-03-09","Thailand",NA
"110","2003-03-09","Venezuela",0.169
"111","2003-03-16","Argentina",0.046
"112","2003-03-16","Bolivia",0.289
"113","2003-03-16","Brazil",0.162
"114","2003-03-16","India",0.006
"115","2003-03-16","Indonesia",0.08
"116","2003-03-16","Mexico",0.064
"117","2003-03-16","Philippines",NA
"118","2003-03-16","Singapore",0.12
"119","2003-03-16","Thailand",NA
"120","2003-03-16","Venezuela",0.157
"121","2003-03-23","Argentina",0.043
"122","2003-03-23","Bolivia",0.227
"123","2003-03-23","Brazil",0.17
"124","2003-03-23","India",0.015
"125","2003-03-23","Indonesia",0.054
"126","2003-03-23","Mexico",0.073
"127","2003-03-23","Philippines",NA
"128","2003-03-23","Singapore",0.115
"129","2003-03-23","Thailand",NA
"130","2003-03-23","Venezuela",0.154
"131","2003-03-30","Argentina",0.039
"132","2003-03-30","Bolivia",0.194
"133","2003-03-30","Brazil",0.176
"134","2003-03-30","India",0.033
"135","2003-03-30","Indonesia",0.071
"136","2003-03-30","Mexico",0.076
"137","2003-03-30","Philippines",0.059
"138","2003-03-30","Singapore",0.104
"139","2003-03-30","Thailand",NA
"140","2003-03-30","Venezuela",0.138
"141","2003-04-06","Argentina",0.036
"142","2003-04-06","Bolivia",0.121
"143","2003-04-06","Brazil",0.134
"144","2003-04-06","India",0.008
"145","2003-04-06","Indonesia",0.054
"146","2003-04-06","Mexico",0.068
"147","2003-04-06","Philippines",0.059
"148","2003-04-06","Singapore",0.107
"149","2003-04-06","Thailand",NA
"150","2003-04-06","Venezuela",0.136
"151","2003-04-13","Argentina",0.031
"152","2003-04-13","Bolivia",0.101
"153","2003-04-13","Brazil",0.15
"154","2003-04-13","India",0.012
"155","2003-04-13","Indonesia",0.088
"156","2003-04-13","Mexico",0.055
"157","2003-04-13","Philippines",0.058
"158","2003-04-13","Singapore",0.101
"159","2003-04-13","Thailand",NA
"160","2003-04-13","Venezuela",0.129
"161","2003-04-20","Argentina",0.029
"162","2003-04-20","Bolivia",0.147
"163","2003-04-20","Brazil",0.104
"164","2003-04-20","India",0.03
"165","2003-04-20","Indonesia",0.054
"166","2003-04-20","Mexico",0.056
"167","2003-04-20","Philippines",0.058
"168","2003-04-20","Singapore",0.102
"169","2003-04-20","Thailand",NA
"170","2003-04-20","Venezuela",0.168
"171","2003-04-27","Argentina",0.034
"172","2003-04-27","Bolivia",0.097
"173","2003-04-27","Brazil",0.104
"174","2003-04-27","India",0.004
"175","2003-04-27","Indonesia",0.081
"176","2003-04-27","Mexico",0.072
"177","2003-04-27","Philippines",0.061
"178","2003-04-27","Singapore",0.128
"179","2003-04-27","Thailand",NA
"180","2003-04-27","Venezuela",0.263
"181","2003-05-04","Argentina",0.031
"182","2003-05-04","Bolivia",0.069
"183","2003-05-04","Brazil",0.089
"184","2003-05-04","India",0.007
"185","2003-05-04","Indonesia",0.068
"186","2003-05-04","Mexico",0.071
"187","2003-05-04","Philippines",0.059
"188","2003-05-04","Singapore",0.132
"189","2003-05-04","Thailand",NA
"190","2003-05-04","Venezuela",0.222
"191","2003-05-11","Argentina",0.039
"192","2003-05-11","Bolivia",0.064
"193","2003-05-11","Brazil",0.067
"194","2003-05-11","India",0
"195","2003-05-11","Indonesia",0.048
"196","2003-05-11","Mexico",0.06
"197","2003-05-11","Philippines",0.059
"198","2003-05-11","Singapore",0.14
"199","2003-05-11","Thailand",NA
"200","2003-05-11","Venezuela",0.2
"201","2003-05-18","Argentina",0.039
"202","2003-05-18","Bolivia",0.053
"203","2003-05-18","Brazil",0.109
"204","2003-05-18","India",0.019
"205","2003-05-18","Indonesia",0.061
"206","2003-05-18","Mexico",0.069
"207","2003-05-18","Philippines",0.057
"208","2003-05-18","Singapore",0.151
"209","2003-05-18","Thailand",NA
"210","2003-05-18","Venezuela",0.202
"211","2003-05-25","Argentina",0.039
"212","2003-05-25","Bolivia",0.064
"213","2003-05-25","Brazil",0.071
"214","2003-05-25","India",0.015
"215","2003-05-25","Indonesia",0.062
"216","2003-05-25","Mexico",0.074
"217","2003-05-25","Philippines",0.055
"218","2003-05-25","Singapore",0.175
"219","2003-05-25","Thailand",NA
"220","2003-05-25","Venezuela",0.177
"221","2003-06-01","Argentina",0.034
"222","2003-06-01","Bolivia",0.058
"223","2003-06-01","Brazil",0.08
"224","2003-06-01","India",0.031
"225","2003-06-01","Indonesia",0.082
"226","2003-06-01","Mexico",0.079
"227","2003-06-01","Philippines",0.062
"228","2003-06-01","Singapore",0.161
"229","2003-06-01","Thailand",NA
"230","2003-06-01","Venezuela",0.192
"231","2003-06-08","Argentina",0.039
"232","2003-06-08","Bolivia",0.042
"233","2003-06-08","Brazil",0.062
"234","2003-06-08","India",0.05
"235","2003-06-08","Indonesia",0.069
"236","2003-06-08","Mexico",0.088
"237","2003-06-08","Philippines",0.059
"238","2003-06-08","Singapore",0.15
"239","2003-06-08","Thailand",NA
"240","2003-06-08","Venezuela",0.186
"241","2003-06-15","Argentina",0.039
"242","2003-06-15","Bolivia",0.047
"243","2003-06-15","Brazil",0.036
"244","2003-06-15","India",0.094
"245","2003-06-15","Indonesia",0.055
"246","2003-06-15","Mexico",0.074
"247","2003-06-15","Philippines",0.059
"248","2003-06-15","Singapore",0.163
"249","2003-06-15","Thailand",NA
"250","2003-06-15","Venezuela",0.178
"251","2003-06-22","Argentina",0.039
"252","2003-06-22","Bolivia",0.039
"253","2003-06-22","Brazil",0.073
"254","2003-06-22","India",0.165
"255","2003-06-22","Indonesia",0.055
"256","2003-06-22","Mexico",0.056
"257","2003-06-22","Philippines",0.058
"258","2003-06-22","Singapore",0.143
"259","2003-06-22","Thailand",NA
"260","2003-06-22","Venezuela",0.16
"261","2003-06-29","Argentina",0.031
"262","2003-06-29","Bolivia",0.038
"263","2003-06-29","Brazil",0.056
"264","2003-06-29","India",0.17
"265","2003-06-29","Indonesia",0.047
"266","2003-06-29","Mexico",0.071
"267","2003-06-29","Philippines",0.058
"268","2003-06-29","Singapore",0.132
"269","2003-06-29","Thailand",NA
"270","2003-06-29","Venezuela",0.172
"271","2003-07-06","Argentina",0.034
"272","2003-07-06","Bolivia",0.029
"273","2003-07-06","Brazil",0.018
"274","2003-07-06","India",0.195
"275","2003-07-06","Indonesia",0.1
"276","2003-07-06","Mexico",0.086
"277","2003-07-06","Philippines",0.056
"278","2003-07-06","Singapore",0.12
"279","2003-07-06","Thailand",NA
"280","2003-07-06","Venezuela",0.159
"281","2003-07-13","Argentina",0.036
"282","2003-07-13","Bolivia",0.023
"283","2003-07-13","Brazil",0.015
"284","2003-07-13","India",0.174
"285","2003-07-13","Indonesia",0.073
"286","2003-07-13","Mexico",0.072
"287","2003-07-13","Philippines",0.057
"288","2003-07-13","Singapore",0.129
"289","2003-07-13","Thailand",NA
"290","2003-07-13","Venezuela",0.161
"291","2003-07-20","Argentina",0.029
"292","2003-07-20","Bolivia",0.021
"293","2003-07-20","Brazil",0.052
"294","2003-07-20","India",0.187
"295","2003-07-20","Indonesia",0.047
"296","2003-07-20","Mexico",0.065
"297","2003-07-20","Philippines",0.064
"298","2003-07-20","Singapore",0.128
"299","2003-07-20","Thailand",NA
"300","2003-07-20","Venezuela",0.163
"301","2003-07-27","Argentina",0.027
"302","2003-07-27","Bolivia",0.018
"303","2003-07-27","Brazil",0.013
"304","2003-07-27","India",0.18
"305","2003-07-27","Indonesia",0.049
"306","2003-07-27","Mexico",0.068
"307","2003-07-27","Philippines",0.064
"308","2003-07-27","Singapore",0.123
"309","2003-07-27","Thailand",NA
"310","2003-07-27","Venezuela",0.153
"311","2003-08-03","Argentina",0.024
"312","2003-08-03","Bolivia",0.016
"313","2003-08-03","Brazil",0.044
"314","2003-08-03","India",0.116
"315","2003-08-03","Indonesia",0.039
"316","2003-08-03","Mexico",0.095
"317","2003-08-03","Philippines",0.081
"318","2003-08-03","Singapore",0.112
"319","2003-08-03","Thailand",NA
"320","2003-08-03","Venezuela",0.151
"321","2003-08-10","Argentina",0.022
"322","2003-08-10","Bolivia",0.019
"323","2003-08-10","Brazil",0.036
"324","2003-08-10","India",0.101
"325","2003-08-10","Indonesia",0.039
"326","2003-08-10","Mexico",0.092
"327","2003-08-10","Philippines",0.091
"328","2003-08-10","Singapore",0.131
"329","2003-08-10","Thailand",NA
"330","2003-08-10","Venezuela",0.15
"331","2003-08-17","Argentina",0.022
"332","2003-08-17","Bolivia",0.022
"333","2003-08-17","Brazil",0.032
"334","2003-08-17","India",0.1
"335","2003-08-17","Indonesia",0.039
"336","2003-08-17","Mexico",0.089
"337","2003-08-17","Philippines",0.134
"338","2003-08-17","Singapore",0.127
"339","2003-08-17","Thailand",NA
"340","2003-08-17","Venezuela",0.146
"341","2003-08-24","Argentina",0.019
"342","2003-08-24","Bolivia",0.018
"343","2003-08-24","Brazil",0.034
"344","2003-08-24","India",0.103
"345","2003-08-24","Indonesia",0.064
"346","2003-08-24","Mexico",0.063
"347","2003-08-24","Philippines",0.163
"348","2003-08-24","Singapore",0.116
"349","2003-08-24","Thailand",NA
"350","2003-08-24","Venezuela",0.152
"351","2003-08-31","Argentina",0.019
"352","2003-08-31","Bolivia",0.018
"353","2003-08-31","Brazil",0.011
"354","2003-08-31","India",0.135
"355","2003-08-31","Indonesia",0.055
"356","2003-08-31","Mexico",0.084
"357","2003-08-31","Philippines",0.152
"358","2003-08-31","Singapore",0.111
"359","2003-08-31","Thailand",NA
"360","2003-08-31","Venezuela",0.159
"361","2003-09-07","Argentina",0.019
"362","2003-09-07","Bolivia",0.019
"363","2003-09-07","Brazil",0.018
"364","2003-09-07","India",0.143
"365","2003-09-07","Indonesia",0.047
"366","2003-09-07","Mexico",0.137
"367","2003-09-07","Philippines",0.149
"368","2003-09-07","Singapore",0.109
"369","2003-09-07","Thailand",NA
"370","2003-09-07","Venezuela",0.166
"371","2003-09-14","Argentina",0.019
"372","2003-09-14","Bolivia",0.031
"373","2003-09-14","Brazil",0.034
"374","2003-09-14","India",0.196
"375","2003-09-14","Indonesia",0.047
"376","2003-09-14","Mexico",0.165
"377","2003-09-14","Philippines",0.147
"378","2003-09-14","Singapore",0.113
"379","2003-09-14","Thailand",NA
"380","2003-09-14","Venezuela",0.175
"381","2003-09-21","Argentina",0.019
"382","2003-09-21","Bolivia",0.041
"383","2003-09-21","Brazil",0.015
"384","2003-09-21","India",0.242
"385","2003-09-21","Indonesia",0.063
"386","2003-09-21","Mexico",0.124
"387","2003-09-21","Philippines",0.137
"388","2003-09-21","Singapore",0.123
"389","2003-09-21","Thailand",NA
"390","2003-09-21","Venezuela",0.162
"391","2003-09-28","Argentina",0.019
"392","2003-09-28","Bolivia",0.049
"393","2003-09-28","Brazil",0.016
"394","2003-09-28","India",0.292
"395","2003-09-28","Indonesia",0.054
"396","2003-09-28","Mexico",0.188
"397","2003-09-28","Philippines",0.123
"398","2003-09-28","Singapore",0.12
"399","2003-09-28","Thailand",NA
"400","2003-09-28","Venezuela",0.166
"401","2003-10-05","Argentina",0.019
"402","2003-10-05","Bolivia",0.035
"403","2003-10-05","Brazil",0.02
"404","2003-10-05","India",0.565
"405","2003-10-05","Indonesia",0.069
"406","2003-10-05","Mexico",0.182
"407","2003-10-05","Philippines",0.141
"408","2003-10-05","Singapore",0.108
"409","2003-10-05","Thailand",NA
"410","2003-10-05","Venezuela",0.16
"411","2003-10-12","Argentina",0.019
"412","2003-10-12","Bolivia",0.044
"413","2003-10-12","Brazil",0.041
"414","2003-10-12","India",0.928
"415","2003-10-12","Indonesia",0.075
"416","2003-10-12","Mexico",0.16
"417","2003-10-12","Philippines",0.123
"418","2003-10-12","Singapore",0.108
"419","2003-10-12","Thailand",NA
"420","2003-10-12","Venezuela",0.192
"421","2003-10-19","Argentina",0.022
"422","2003-10-19","Bolivia",0.054
"423","2003-10-19","Brazil",0.026
"424","2003-10-19","India",0.99
"425","2003-10-19","Indonesia",0.068
"426","2003-10-19","Mexico",0.157
"427","2003-10-19","Philippines",0.109
"428","2003-10-19","Singapore",0.119
"429","2003-10-19","Thailand",NA
"430","2003-10-19","Venezuela",0.231
"431","2003-10-26","Argentina",0.024
"432","2003-10-26","Bolivia",0.035
"433","2003-10-26","Brazil",0.034
"434","2003-10-26","India",0.91
"435","2003-10-26","Indonesia",0.076
"436","2003-10-26","Mexico",0.122
"437","2003-10-26","Philippines",0.103
"438","2003-10-26","Singapore",0.174
"439","2003-10-26","Thailand",NA
"440","2003-10-26","Venezuela",0.298
"441","2003-11-02","Argentina",0.029
"442","2003-11-02","Bolivia",0.032
"443","2003-11-02","Brazil",0.038
"444","2003-11-02","India",0.679
"445","2003-11-02","Indonesia",0.075
"446","2003-11-02","Mexico",0.159
"447","2003-11-02","Philippines",0.096
"448","2003-11-02","Singapore",0.195
"449","2003-11-02","Thailand",NA
"450","2003-11-02","Venezuela",0.302
"451","2003-11-09","Argentina",0.027
"452","2003-11-09","Bolivia",0.044
"453","2003-11-09","Brazil",0.038
"454","2003-11-09","India",0.509
"455","2003-11-09","Indonesia",0.06
"456","2003-11-09","Mexico",0.132
"457","2003-11-09","Philippines",0.09
"458","2003-11-09","Singapore",0.157
"459","2003-11-09","Thailand",NA
"460","2003-11-09","Venezuela",0.262
"461","2003-11-16","Argentina",0.027
"462","2003-11-16","Bolivia",0.031
"463","2003-11-16","Brazil",0.046
"464","2003-11-16","India",0.327
"465","2003-11-16","Indonesia",0.047
"466","2003-11-16","Mexico",0.088
"467","2003-11-16","Philippines",0.091
"468","2003-11-16","Singapore",0.126
"469","2003-11-16","Thailand",NA
"470","2003-11-16","Venezuela",0.238
"471","2003-11-23","Argentina",0.027
"472","2003-11-23","Bolivia",0.03
"473","2003-11-23","Brazil",0.068
"474","2003-11-23","India",0.245
"475","2003-11-23","Indonesia",0.055
"476","2003-11-23","Mexico",0.127
"477","2003-11-23","Philippines",0.088
"478","2003-11-23","Singapore",0.116
"479","2003-11-23","Thailand",NA
"480","2003-11-23","Venezuela",0.231
"481","2003-11-30","Argentina",0.027
"482","2003-11-30","Bolivia",0.024
"483","2003-11-30","Brazil",0.063
"484","2003-11-30","India",0.178
"485","2003-11-30","Indonesia",0.068
"486","2003-11-30","Mexico",0.079
"487","2003-11-30","Philippines",0.089
"488","2003-11-30","Singapore",0.129
"489","2003-11-30","Thailand",NA
"490","2003-11-30","Venezuela",0.252
"491","2003-12-07","Argentina",0.024
"492","2003-12-07","Bolivia",0.016
"493","2003-12-07","Brazil",0.06
"494","2003-12-07","India",0.133
"495","2003-12-07","Indonesia",0.058
"496","2003-12-07","Mexico",0.083
"497","2003-12-07","Philippines",0.091
"498","2003-12-07","Singapore",0.112
"499","2003-12-07","Thailand",NA
"500","2003-12-07","Venezuela",0.286
"501","2003-12-14","Argentina",0.022
"502","2003-12-14","Bolivia",0.012
"503","2003-12-14","Brazil",0.055
"504","2003-12-14","India",0.094
"505","2003-12-14","Indonesia",0.045
"506","2003-12-14","Mexico",0.066
"507","2003-12-14","Philippines",0.095
"508","2003-12-14","Singapore",0.109
"509","2003-12-14","Thailand",NA
"510","2003-12-14","Venezuela",0.36
"511","2003-12-21","Argentina",0.019
"512","2003-12-21","Bolivia",0.011
"513","2003-12-21","Brazil",0.053
"514","2003-12-21","India",0.1
"515","2003-12-21","Indonesia",0.055
"516","2003-12-21","Mexico",0.055
"517","2003-12-21","Philippines",0.098
"518","2003-12-21","Singapore",0.104
"519","2003-12-21","Thailand",NA
"520","2003-12-21","Venezuela",0.324
"521","2003-12-28","Argentina",0.019
"522","2003-12-28","Bolivia",0.01
"523","2003-12-28","Brazil",0.049
"524","2003-12-28","India",0.087
"525","2003-12-28","Indonesia",0.039
"526","2003-12-28","Mexico",0.042
"527","2003-12-28","Philippines",0.109
"528","2003-12-28","Singapore",0.117
"529","2003-12-28","Thailand",NA
"530","2003-12-28","Venezuela",0.321
"531","2004-01-04","Argentina",0.019
"532","2004-01-04","Bolivia",0.01
"533","2004-01-04","Brazil",0.085
"534","2004-01-04","India",0.07
"535","2004-01-04","Indonesia",0.065
"536","2004-01-04","Mexico",0.041
"537","2004-01-04","Philippines",0.105
"538","2004-01-04","Singapore",0.115
"539","2004-01-04","Thailand",NA
"540","2004-01-04","Venezuela",0.285
"541","2004-01-11","Argentina",0.017
"542","2004-01-11","Bolivia",0.018
"543","2004-01-11","Brazil",0.095
"544","2004-01-11","India",0.072
"545","2004-01-11","Indonesia",0.09
"546","2004-01-11","Mexico",0.036
"547","2004-01-11","Philippines",0.096
"548","2004-01-11","Singapore",0.109
"549","2004-01-11","Thailand",NA
"550","2004-01-11","Venezuela",0.256
"551","2004-01-18","Argentina",0.017
"552","2004-01-18","Bolivia",0.07
"553","2004-01-18","Brazil",0.072
"554","2004-01-18","India",0.062
"555","2004-01-18","Indonesia",0.039
"556","2004-01-18","Mexico",0.034
"557","2004-01-18","Philippines",0.097
"558","2004-01-18","Singapore",0.106
"559","2004-01-18","Thailand",NA
"560","2004-01-18","Venezuela",0.251
"561","2004-01-25","Argentina",0.019
"562","2004-01-25","Bolivia",0.091
"563","2004-01-25","Brazil",0.057
"564","2004-01-25","India",0.059
"565","2004-01-25","Indonesia",0.065
"566","2004-01-25","Mexico",0.033
"567","2004-01-25","Philippines",0.093
"568","2004-01-25","Singapore",0.108
"569","2004-01-25","Thailand",NA
"570","2004-01-25","Venezuela",0.284
"571","2004-02-01","Argentina",0.031
"572","2004-02-01","Bolivia",0.068
"573","2004-02-01","Brazil",0.069
"574","2004-02-01","India",0.043
"575","2004-02-01","Indonesia",0.058
"576","2004-02-01","Mexico",0.037
"577","2004-02-01","Philippines",0.088
"578","2004-02-01","Singapore",0.109
"579","2004-02-01","Thailand",NA
"580","2004-02-01","Venezuela",0.283
"581","2004-02-08","Argentina",0.039
"582","2004-02-08","Bolivia",0.046
"583","2004-02-08","Brazil",0.067
"584","2004-02-08","India",0.033
"585","2004-02-08","Indonesia",0.122
"586","2004-02-08","Mexico",0.032
"587","2004-02-08","Philippines",0.08
"588","2004-02-08","Singapore",0.145
"589","2004-02-08","Thailand",NA
"590","2004-02-08","Venezuela",0.227
"591","2004-02-15","Argentina",0.046
