"","Date","country","searches"
"1","2002-12-29","Argentina",NA
"2","2002-12-29","Australia",NA
"3","2002-12-29","Austria",NA
"4","2002-12-29","Belgium",NA
"5","2002-12-29","Bolivia",NA
"6","2002-12-29","Brazil",174
"7","2002-12-29","Bulgaria",NA
"8","2002-12-29","Canada",NA
"9","2002-12-29","Chile",NA
"10","2002-12-29","France",NA
"11","2002-12-29","Germany",NA
"12","2002-12-29","Hungary",NA
"13","2002-12-29","Japan",NA
"14","2002-12-29","Mexico",NA
"15","2002-12-29","Netherlands",NA
"16","2002-12-29","New.Zealand",NA
"17","2002-12-29","Norway",NA
"18","2002-12-29","Paraguay",NA
"19","2002-12-29","Peru",329
"20","2002-12-29","Poland",NA
"21","2002-12-29","Romania",NA
"22","2002-12-29","Russia",NA
"23","2002-12-29","South.Africa",NA
"24","2002-12-29","Spain",NA
"25","2002-12-29","Sweden",NA
"26","2002-12-29","Switzerland",NA
"27","2002-12-29","Ukraine",NA
"28","2002-12-29","United.States",NA
"29","2002-12-29","Uruguay",NA
"30","2003-01-05","Argentina",NA
"31","2003-01-05","Australia",NA
"32","2003-01-05","Austria",NA
"33","2003-01-05","Belgium",NA
"34","2003-01-05","Bolivia",NA
"35","2003-01-05","Brazil",162
"36","2003-01-05","Bulgaria",NA
"37","2003-01-05","Canada",NA
"38","2003-01-05","Chile",NA
"39","2003-01-05","France",NA
"40","2003-01-05","Germany",NA
"41","2003-01-05","Hungary",NA
"42","2003-01-05","Japan",NA
"43","2003-01-05","Mexico",NA
"44","2003-01-05","Netherlands",NA
"45","2003-01-05","New.Zealand",NA
"46","2003-01-05","Norway",NA
"47","2003-01-05","Paraguay",NA
"48","2003-01-05","Peru",315
"49","2003-01-05","Poland",NA
"50","2003-01-05","Romania",NA
"51","2003-01-05","Russia",NA
"52","2003-01-05","South.Africa",NA
"53","2003-01-05","Spain",NA
"54","2003-01-05","Sweden",NA
"55","2003-01-05","Switzerland",NA
"56","2003-01-05","Ukraine",NA
"57","2003-01-05","United.States",NA
"58","2003-01-05","Uruguay",NA
"59","2003-01-12","Argentina",NA
"60","2003-01-12","Australia",NA
"61","2003-01-12","Austria",NA
"62","2003-01-12","Belgium",NA
"63","2003-01-12","Bolivia",NA
