Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
England,183.0,0.0,5.0,2.0,7.0
Portugal,100.0,0.0,0.0,0.0,34.0
Spain,137.0,66.0,10.0,2.0,0.0
United States,15.0,0.0,2.0,9.0,0.0
Canada,27.0,36.0,1.0,0.0,0.0
Sweden,4.0,0.0,0.0,0.0,0.0
Italy,13.0,2.0,12.0,4.0,0.0
France,17.0,0.0,1.0,1.0,1.0
Belgium,9.0,0.0,2.0,1.0,0.0
Australia,2.0,0.0,1.0,2.0,0.0
Germany,38.0,7.0,12.0,8.0,1.0
Netherlands,26.0,6.0,0.0,1.0,0.0
Israel,2.0,1.0,3.0,3.0,0.0
Switzerland,4.0,0.0,0.0,3.0,0.0
Greece,0.0,0.0,1.0,1.0,0.0
Austria,1.0,0.0,1.0,0.0,0.0
Argentina,2.0,0.0,0.0,2.0,0.0
Denmark,2.0,0.0,0.0,2.0,0.0
Morocco,0.0,0.0,0.0,0.0,0.0
Slovenia,2.0,0.0,0.0,2.0,0.0
Scotland,4.0,0.0,1.0,1.0,0.0
Czech Republic,5.0,0.0,1.0,1.0,0.0
United Arab Emirates,4.0,0.0,0.0,1.0,0.0
Finland,1.0,0.0,0.0,1.0,0.0
Wales,1.0,0.0,0.0,0.0,0.0
Northern Ireland,2.0,0.0,0.0,0.0,0.0
Sudan,0.0,1.0,0.0,0.0,0.0
Bolivia,0.0,1.0,1.0,0.0,0.0
Iran,0.0,3.0,0.0,0.0,0.0
Ecuador,0.0,0.0,0.0,0.0,0.0
Malta,1.0,0.0,0.0,1.0,0.0
Ireland,2.0,0.0,0.0,0.0,0.0
Mexico,1.0,0.0,0.0,1.0,0.0
Pakistan,0.0,1.0,1.0,0.0,0.0
French Guiana,0.0,2.0,0.0,0.0,0.0
Thailand,0.0,0.0,0.0,0.0,0.0
Peru,0.0,0.0,1.0,1.0,0.0
Brazil,0.0,3.0,0.0,1.0,0.0
Malaysia,0.0,0.0,0.0,0.0,0.0
Hungary,1.0,0.0,0.0,0.0,0.0
Norway,1.0,0.0,0.0,1.0,0.0
